Counts (N),Voltage (V),V_err (+/-)
0,-9.666,0.001
99879,-6.077,0.001
99976,-5.338,0.001
99945,-4.368,0.001
99952,-2.947,0.001
99991,-1.072,0.001
99943,-0.04,0.001
