Counts (N),Voltage (V),V_err (+/-)
0,-9.620,0.001
99951,-8.490,0.001
99954,-7.360,0.001
99974,-5.610,0.001
99959,-2.250,0.001
99986,-1.840,0.001
99984,-0.830,0.001
99985,0.153,0.001
99994,0.340,0.001
