Voltage (V),V_err (+/-),Counts (N)
-9.71,0.01,0
-8.24,0.01,50
-6.76,0.01,48
-5.35,0.01,45
-3.89,0.01,49
-2.47,0.01,48
-0.948,0.01,52
0.026,0.01,33
