theta (deg),theta_err (deg),Counts (M)
-10,1.0,0
-7.5,1.0,6
-5,1.0,10
-2.5,1.0,4
0,1.0,0
2.5,1.0,-8
5,1.0,-16
7.5,1.0,-28
10,1.0,-27
