theta (deg),theta_err (deg),Counts (M)
-20,1.0,0
-15,1.0,55
-10,1.0,39
-5,1.0,20
0,1.0,-2
5,1.0,-24
10,1.0,-37
15,1.0,-75
20,1.0,-64
